sample	value
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-001	0
FC-002	3
FC-002	3
FC-002	3
FC-002	3
FC-002	3
FC-002	4
FC-002	4
FC-002	4
FC-002	4
FC-002	4
FC-003	0
FC-003	0
FC-003	0
FC-003	0
FC-003	0
FC-003	0
FC-003	0
FC-003	0
FC-003	3
FC-003	4
FC-005	0
FC-005	0
FC-005	0
FC-005	0
FC-005	0
FC-005	0
FC-005	0
FC-005	0
FC-005	0
FC-005	2
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-006	0
FC-008	0
FC-008	0
FC-008	0
FC-008	0
FC-008	0
FC-008	0
FC-008	0
FC-008	0
FC-008	0
FC-008	1
FC-009	0
FC-009	1
FC-009	1
FC-009	1
FC-009	2
FC-009	2
FC-009	2
FC-009	3
FC-009	3
FC-009	3
FC-010	0
FC-010	2
FC-010	3
FC-010	3
FC-010	3
FC-010	3
FC-010	3
FC-010	4
FC-010	4
FC-010	4
FC-011	0
FC-011	0
FC-011	0
FC-011	0
FC-011	0
FC-011	0
FC-011	0
FC-011	0
FC-011	2
FC-011	3
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-012	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-014	0
FC-015	0
FC-015	0
FC-015	0
FC-015	0
FC-015	0
FC-015	0
FC-015	0
FC-015	1
FC-015	2
FC-015	2
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-016	0
FC-017	0
FC-017	0
FC-017	0
FC-017	0
FC-017	0
FC-017	0
FC-017	2
FC-017	2
FC-017	2
FC-017	2
FC-018	0
FC-018	0
FC-018	0
FC-018	0
FC-018	0
FC-018	0
FC-018	1
FC-018	2
FC-018	2
FC-018	2
FC-019	0
FC-019	0
FC-019	0
FC-019	0
FC-019	0
FC-019	0
FC-019	0
FC-019	0
FC-019	1
FC-019	2
FC-020	0
FC-020	0
FC-020	0
FC-020	0
FC-020	0
FC-020	1
FC-020	1
FC-020	2
FC-020	2
FC-020	2
FC-022	0
FC-022	0
FC-022	0
FC-022	0
FC-022	0
FC-022	0
FC-022	3
FC-022	3
FC-022	3
FC-022	3
FC-023	0
FC-023	0
